cpu power (w)      , gpu power (w), energy use (kwh/year), grid carbon intensity (kg co2/kwh), operational emissions (kg co2), manufacturing emissions (kg co2), disposal emissions (kg co2), operational emissions, predicted_emissions (kg co2)
 8.57              ,          4.95,              2601.33 ,                              0.72 ,                          0.214,                              100,                          20,   1872.9576          ,                   1992.9094
 9.95              ,          4.94,              2865.215,                              0.72 ,                          0.235,                              100,                          20,   2062.9548          ,                   2182.971
11.81              ,          5.09,              3252.367,                              0.72 ,                          0.267,                              100,                          20,   2341.70424         ,                   2335.6765
 8.719999999999999 ,          4.88,              2617.582,                              0.72 ,                          0.215,                              100,                          20,   1884.65904         ,                   1994.7959
 8.99              ,          4.73,              2640.94 ,                              0.72 ,                          0.217,                              100,                          20,   1901.4768          ,                   2021.6317
10.01              ,          5.11,              2910.717,                              0.72 ,                          0.239,                              100,                          20,   2095.71624         ,                   2215.7288
 7.49              ,          4.83,              2371.934,                              0.72 ,                          0.195,                              100,                          20,   1707.79248         ,                   1827.833
 9.32              ,          5.15,              2786.149,                              0.72 ,                          0.229,                              100,                          20,   2006.02728         ,                   2126.26
 7.91              ,          4.74,              2435.957,                              0.72 ,                          0.2  ,                              100,                          20,   1753.8890399999998 ,                   1873.742
 8.84              ,          4.7 ,              2607.662,                              0.72 ,                          0.214,                              100,                          20,   1877.51664         ,                   1997.2946
 7.43              ,          5.05,              2403.752,                              0.72 ,                          0.198,                              100,                          20,   1730.7014399999998 ,                   1857.8544
 7.19              ,          4.73,              2296.122,                              0.72 ,                          0.189,                              100,                          20,   1653.2078399999998 ,                   1773.1708
 8.6               ,          5.22,              2662.414,                              0.72 ,                          0.219,                              100,                          20,   1916.93808         ,                   2036.911
 7.25              ,          5.14,              2387.179,                              0.72 ,                          0.196,                              100,                          20,   1718.76888         ,                   1838.7733
 8.09              ,          5.04,              2530.09 ,                              0.72 ,                          0.208,                              100,                          20,   1821.6648          ,                   1941.5782
 9.05              ,          4.9 ,              2688.419,                              0.72 ,                          0.221,                              100,                          20,   1935.66168         ,                   2055.5845
 8.48              ,          4.98,              2594.246,                              0.72 ,                          0.213,                              100,                          20,   1867.85712         ,                   1988.0311
 7.1               ,          5.16,              2363.226,                              0.72 ,                          0.194,                              100,                          20,   1701.52272         ,                   1821.4502
